Home,Нүүр,module,Magento_CatalogSearch
"Go to Home Page","Нүүр хуудасруу буцах",module,Magento_CatalogSearch
"Catalog Advanced Search","Catalog Advanced Search",module,Magento_CatalogSearch
All,Бүгд,module,Magento_CatalogSearch
Yes,Тийм,module,Magento_CatalogSearch
No,Үгүй,module,Magento_CatalogSearch
Results,Үр дүн,module,Magento_CatalogSearch
Grid,Grid,module,Magento_CatalogSearch
List,List,module,Magento_CatalogSearch
"Search Weight","Жин хайх",module,Magento_CatalogSearch
Relevance,Хамаарал,module,Magento_CatalogSearch
"Search results for: '%1'","Хайлтын үр дүнr: '%1'",module,Magento_CatalogSearch
"Minimum Search query length is %1","Хамгийн бага хайлтын утга %1",module,Magento_CatalogSearch
"Please specify at least one search term.","Хайлтын утга оруулна уу.",module,Magento_CatalogSearch
"%1 and greater","%1 ба илүү",module,Magento_CatalogSearch
"up to %1","Хүртэл %1",module,Magento_CatalogSearch
Category,Ангилал,module,Magento_CatalogSearch
"%1 and above","%1 and above",module,Magento_CatalogSearch
"%1 - %2","%1 - %2",module,Magento_CatalogSearch
"Bucket do not exists","Bucket do not exists",module,Magento_CatalogSearch
Product,Бүтээгдэхүүн,module,Magento_CatalogSearch
"Search Settings","Хайлтын тохиргоо",module,Magento_CatalogSearch
Search,Хайх,module,Magento_CatalogSearch
"Advanced Search","Нарийвчилсан хайлт",module,Magento_CatalogSearch
"<strong>%1 item</strong> were found using the following search criteria","<strong>%1 item</strong> were found using the following search criteria",module,Magento_CatalogSearch
"<strong>%1 items</strong> were found using the following search criteria","<strong>%1 items</strong> were found using the following search criteria",module,Magento_CatalogSearch
"We can\'t find any items matching these search criteria.","We can\'t find any items matching these search criteria.",module,Magento_CatalogSearch
"Modify your search","Хайлт өөрчлөх",module,Magento_CatalogSearch
name,Нэр,module,Magento_CatalogSearch
"Don't see what you're looking for?","Хайлт олдсонгүй",module,Magento_CatalogSearch
"Your search returned no results.","Хайлтын үр дүн олдсонгүй",module,Magento_CatalogSearch
"Popular Search Terms","Түгээмэл хайлтын нэр томьёо",module,Magento_CatalogSearch
"Catalog Search","каталог хайх",module,Magento_CatalogSearch
"Minimal Query Length","Хамгийн бага хайлтын Урт",module,Magento_CatalogSearch
"Maximum Query Length","Хамгийн их хайлтын Урт",module,Magento_CatalogSearch
"Rebuild Catalog product fulltext search index","Rebuild Catalog product fulltext search index",module,Magento_CatalogSearch
